filename,angle,bbox,text,conf
61AHQ35poHL.jpg,-90.0,"[[2069, 545], [2397, 545], [2397, 607], [2069, 607]]",Horbaach,0.9156933042294214
61AHQ35poHL.jpg,-90.0,"[[1780, 616], [1904, 616], [1904, 822], [1780, 822]]",V,0.6357596866724293
61AHQ35poHL.jpg,-90.0,"[[2032, 641], [2361, 641], [2361, 757], [2032, 757]]",100%,0.8905726671218872
61AHQ35poHL.jpg,-90.0,"[[2036, 749], [2358, 749], [2358, 821], [2036, 821]]",HIGHEST,0.9999145259261955
61AHQ35poHL.jpg,-90.0,"[[2039, 821], [2355, 821], [2355, 883], [2039, 883]]",QUALITY,0.9995952276276721
61AHQ35poHL.jpg,-90.0,"[[368, 948], [452, 948], [452, 1024], [368, 1024]]",TO,0.4822394130050685
61AHQ35poHL.jpg,-90.0,"[[965, 1077], [1150, 1077], [1150, 1155], [965, 1155]]",HGH,0.6451576161877244
61AHQ35poHL.jpg,-90.0,"[[266, 1308], [588, 1308], [588, 1458], [266, 1458]]",GMP,0.9528896808624268
61AHQ35poHL.jpg,-90.0,"[[566, 1037], [701, 1037], [701, 1397], [566, 1397]]",),0.5220310071304226
61AHQ35poHL.jpg,-90.0,"[[995, 1278], [1563, 1278], [1563, 1501], [995, 1501]]",HUSK,0.9482148885726929
61AHQ35poHL.jpg,-90.0,"[[1558, 1484], [1685, 1484], [1685, 1545], [1558, 1545]]",OVATA,0.9981597891524475
61AHQ35poHL.jpg,-90.0,"[[908, 1529], [1250, 1529], [1250, 1663], [908, 1663]]",140OmG,0.28700110137904805
61AHQ35poHL.jpg,-90.0,"[[1476, 1545], [1607, 1545], [1607, 1606], [1476, 1606]]",SEEDS,0.9989012747267649
61AHQ35poHL.jpg,-90.0,"[[1334, 1840], [1545, 1840], [1545, 1966], [1334, 1966]]",365,0.9999986234898187
61AHQ35poHL.jpg,-90.0,"[[1930, 2404], [2487, 2404], [2487, 2512], [1930, 2512]]",HOcbaaCh,0.23030571916199297
61AHQ35poHL.jpg,-90.0,"[[1057.1033793898916, 873.6274346577618], [1382.7467964237935, 846.1343263908481], [1383.8966206101084, 908.3725653422382], [1058.2532035762065, 935.8656736091519]]",Horbaach',0.9196165409208003
61AHQ35poHL.jpg,-90.0,"[[481.2335635976379, 944.0326940923634], [609.9948683441107, 1008.696119312699], [572.7664364023622, 1078.9673059076365], [444.0051316558893, 1014.303880687301]]",GMP,0.8578368844065496
61AHQ35poHL.jpg,-90.0,"[[225.54358609640647, 914.0049604346978], [381.4975968554585, 963.1236830783955], [238.45641390359353, 1415.9950395653022], [82.50240314454153, 1366.8763169216045]]",(,0.9582992941502825
61AHQ35poHL.jpg,-90.0,"[[1170.1170986264233, 1072.1756479396352], [1528.7990811814238, 1041.3349188943453], [1530.8829013735767, 1098.8243520603648], [1172.2009188185762, 1128.6650811056547]]",STtRE NGTh,0.26535725633299345
61AHQ35poHL.jpg,-90.0,"[[847.7580855142542, 1166.2517472912268], [1709.1993956408583, 1096.2567939490148], [1708.2419144857458, 1271.7482527087732], [845.8006043591416, 1341.7432060509852]]",PSYLLIUM,0.9996699676163505
61AHQ35poHL.jpg,-90.0,"[[1797.1226640567277, 1295.1039765105484], [2169.841280909341, 1100.802292574993], [2219.8773359432726, 1238.8960234894516], [1847.1587190906587, 1433.197707425007]]",ANUFACTURSS,0.04162948915986214
61AHQ35poHL.jpg,-90.0,"[[2222.074853959363, 1191.0614046952217], [2289.94974087781, 1230.1626818219506], [2260.925146040637, 1279.9385953047783], [2193.05025912219, 1241.8373181780494]]",IN,0.9955654123814
61AHQ35poHL.jpg,-90.0,"[[2255.678068244449, 1261.1259548711355], [2296.5911015368033, 1228.0250018657214], [2369.321931755551, 1326.8740451288645], [2328.4088984631967, 1359.9749981342786]]",4,0.3229122629776704
61AHQ35poHL.jpg,-90.0,"[[2324.963203131951, 1344.090257852122], [2370.2156336242156, 1329.1244374829573], [2395.036796868049, 1412.909742147878], [2349.7843663757844, 1427.8755625170427]]",S,0.5061548838722594
61AHQ35poHL.jpg,-90.0,"[[1336.671267835837, 1515.5754088880901], [1562.7921878393147, 1495.5734882710876], [1565.328732164163, 1543.4245911119099], [1338.2078121606853, 1562.4265117289124]]",PLANTAGO,0.9988203542754668
61AHQ35poHL.jpg,-90.0,"[[2349.259497617845, 1493.0392776077463], [2403.3656433682613, 1511.504460961727], [2372.740502382155, 1600.9607223922537], [2318.6343566317387, 1582.495539038273]]",5,0.9891959579381684
61AHQ35poHL.jpg,-90.0,"[[1855.428859156974, 1477.0090634446833], [2233.5515739160355, 1696.0072248911388], [2154.571140843026, 1827.9909365553167], [1776.4484260839645, 1607.9927751088612]]",ANUFACTUR O,0.1743836145385526
61AHQ35poHL.jpg,-90.0,"[[1341.981981618011, 1568.3495485304309], [1483.5258035064114, 1558.6621600549797], [1484.018018381989, 1607.6504514695691], [1342.4741964935886, 1618.3378399450203]]",PLANT,0.9999041977673732
61AHQ35poHL.jpg,-90.0,"[[2324.099778844847, 1567.2628522680952], [2372.4632293958616, 1606.3117541450843], [2294.900221155153, 1697.7371477319048], [2246.5367706041384, 1658.6882458549157]]",4,0.37741723310097086
61AHQ35poHL.jpg,-90.0,"[[2194.1170986264233, 1676.1756479396352], [2261.1304951684997, 1644.7390096630006], [2284.8829013735767, 1702.8243520603648], [2216.8695048315003, 1733.2609903369994]]",IN,0.9994242383149676
61AHQ35poHL.jpg,-90.0,"[[1535.96994823302, 1842.3008291689657], [1708.4651416445001, 1829.3163562985094], [1709.03005176698, 1888.6991708310343], [1536.5348583554999, 1900.6836437014906]]",VEGAN,0.9998922557325512
61AHQ35poHL.jpg,-90.0,"[[1542.8503320980383, 1892.4856974058803], [1706.7278428108104, 1879.3728852664094], [1708.1496679019617, 1922.5143025941197], [1543.2721571891896, 1935.6271147335906]]",CAPSULES,0.9621205274046672
61AHQ35poHL.jpg,-90.0,"[[968.3183180150093, 1905.291290442026], [1078.4899515078876, 1896.799923761135], [1079.6816819849907, 1942.708709557974], [969.5100484921124, 1950.200076238865]]",FOOD,0.9983730912208557
61AHQ35poHL.jpg,-90.0,"[[971.3500052999841, 1951.7600084799747], [1214.8252561143206, 1931.689693382749], [1216.649994700016, 1976.2399915200253], [973.1747438856794, 1997.310306617251]]",SUPPLEMENT,0.9898455601349511
61AHQ35poHL.jpg,-90.0,"[[555, 389], [569, 389], [569, 411], [555, 411]]",3,0.6158463839533965
61AHQ35poHL.jpg,-90.0,"[[595, 389], [611, 389], [611, 411], [595, 411]]",3,0.872790314305405
61AHQ35poHL.jpg,-90.0,"[[666, 370], [683, 370], [683, 441], [666, 441]]",1,0.6787253456930245
61AHQ35poHL.jpg,-90.0,"[[727, 377], [741, 377], [741, 475], [727, 475]]",1,0.41987086389685047
61AHQ35poHL.jpg,-90.0,"[[359, 510], [395, 510], [395, 579], [359, 579]]",F,0.18083167680069678
61AHQ35poHL.jpg,-90.0,"[[389, 517], [521, 517], [521, 557], [389, 557]]",IW!,0.06746399417942428
61AHQ35poHL.jpg,-90.0,"[[555, 517], [567, 517], [567, 563], [555, 563]]",1,0.6129669042689443
61AHQ35poHL.jpg,-90.0,"[[566, 524], [624, 524], [624, 550], [566, 550]]",5833,0.2779020369052887
61AHQ35poHL.jpg,-90.0,"[[667, 499], [681, 499], [681, 583], [667, 583]]",1,0.3114372063612656
61AHQ35poHL.jpg,-90.0,"[[681, 531], [695, 531], [695, 555], [681, 555]]",3,0.3821757404896289
